time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N
12.3,6380678.463088692,-2.3683024778977244,3218.06141694594,230.9384067666226,-0.32285858318689553,-124.30895785217992,2542.2800621602955,-3.7116781414317373e-07,0.0005077423305719761,9.806365627585526,124.3089578521799,330.3964181897344,0.952847635189346,74296.27418891751,271.63168412959556,-52.65215601774982,0.07360334457788084,28.30700684193931,0.0,0.0,0.0
12.4,6380690.823737732,-2.4006616490215733,3241.1435317294467,230.57815274522932,-0.3241562400965214,-123.1396375997908,2554.652471388146,-3.7623851638283285e-07,0.0005113832042927947,9.806327536232732,123.13963759979079,330.34754404471016,0.9516485730157042,74180.82847491335,271.5513274206356,-52.32968408396494,0.07356129479769792,27.912146476939203,0.0,0.0,0.0
12.5,6380703.067524137,-2.4331497499049006,3264.189716544539,230.22010379794585,-0.32543715877807233,-121.97301207773381,2566.9080835254977,-3.813294121604773e-07,0.0005150184043255309,9.806289804687014,121.97301207773383,330.2991243354578,0.9504619731274815,74066.61627256912,271.47172959730335,-52.01078757258104,0.07351604930970596,27.521565473962443,0.0,0.0,0.0
12.6,6380715.194716219,-2.465765142933819,3287.2001898952044,229.86423549235292,-0.32670140005106607,-120.80905210836507,2579.0471665837945,-3.8644024497030297e-07,0.000518647965357291,9.806252432117022,120.80905210836507,330.25115819744565,0.9492877763382651,73953.63086458905,271.39288891018333,-51.695424788395194,0.07346768610700152,27.13520377952618,0.0,0.0,0.0
12.7,6380727.20557937,-2.498506139852979,3310.17516786032,229.51052368043398,-0.32794902378140467,-119.64772892291853,2591.069985675624,-3.915707503792203e-07,0.0005222719216912682,9.806215417700415,119.64772892291855,330.2036447752495,0.9481259241913158,73841.86561955677,271.3148036287228,-51.38355475090739,0.07341628174117666,26.75300224723051,0.0,0.0,0.0
12.8,6380739.100376113,-2.5313710866740085,3333.114864121664,229.158944493704,-0.32918008889629163,-118.48901415534992,2602.9768030624123,-3.9672066932277224e-07,0.0005258903072512162,9.806178760623647,118.48901415534992,330.1565832224822,0.9469763589524552,73731.31399105633,271.2374720410917,-51.07513718045048,0.07336191135112292,26.37490261906963,0.0,0.0,0.0
12.9,6380750.879366171,-2.564358323915263,3356.0194899916496,228.80947433843437,-0.33039465340005386,-117.33287983629933,2614.767878181677,-4.0188974188129074e-07,0.0005295031555858206,9.806142460082013,117.33287983629933,330.1099727015932,0.9458390235998103,73621.96951647225,271.16089245381227,-50.77013248443362,0.07330464869108325,26.00084750706373,0.0,0.0,0.0
13.0,6380762.542806456,-2.597466214838848,3378.8892544405485,228.46208989097036,-0.33159277438960444,-116.17929838718236,2626.4434676992532,-4.0707771170256054e-07,0.000533110499873005,9.80610651527938,116.17929838718236,330.0638123837794,0.9447138618170612,73513.82581612347,271.0850631916128,-50.46850174406923,0.07324456615820861,25.630780375391836,0.0,0.0,0.0
13.1,6380774.090951173,-2.6306931113699155,3401.7243641230953,228.11676809313897,-0.3327745080687282,-115.0282426144019,2638.0038255365494,-4.1228432065936664e-07,0.0005367123729241742,9.806070925428171,115.02824261440189,330.01810144879045,0.9436008179829801,73406.87659207625,271.00998259704613,-50.170206701203185,0.07318173481892983,25.264645522828108,0.0,0.0,0.0
13.2,6380785.524051811,-2.6640373823381345,3424.525023404947,227.7734861477466,-0.33393990976340754,-113.87968570367575,2649.449202923921,-4.17509313280885e-07,0.0005403088071883638,9.806035689749168,113.87968570367575,329.9728390848404,0.94249983716473,73301.11562728202,270.93564903033166,-49.875209745599925,0.07311622443517003,24.902388065652975,0.0,0.0,0.0
